"COD_IBGE","NM_MUN","NM_MUN_S","BIOMA","NM_UF"
5200050,"ABADIA DE GOIÁS","ABADIA DE GOIAS","Cerrado","GOIAS"
3100104,"ABADIA DOS DOURADOS","ABADIA DOS DOURADOS","Cerrado","MINAS GERAIS"
5200100,"ABADIÂNIA","ABADIANIA","Cerrado","GOIAS"
1500107,"ABAETETUBA","ABAETETUBA","Amazonia","PARA"
3100203,"ABAETÉ","ABAETE","Cerrado","MINAS GERAIS"
2300101,"ABAIARA","ABAIARA","Caatinga","CEARA"
2900108,"ABAÍRA","ABAIRA","Caatinga","BAHIA"
2900207,"ABARÉ","ABARE","Caatinga","BAHIA"
4100103,"ABATIÁ","ABATIA","Mata Atlantica","PARANA"
4200051,"ABDON BATISTA","ABDON BATISTA","Mata Atlantica","SANTA CATARINA"
1500131,"ABEL FIGUEIREDO","ABEL FIGUEIREDO","Amazonia","PARA"
4200101,"ABELARDO LUZ","ABELARDO LUZ","Mata Atlantica","SANTA CATARINA"
3100302,"ABRE CAMPO","ABRE CAMPO","Mata Atlantica","MINAS GERAIS"
2600054,"ABREU E LIMA","ABREU E LIMA","Mata Atlantica","PERNAMBUCO"
1700251,"ABREULÂNDIA","ABREULANDIA","Cerrado","TOCANTINS"
3100401,"ACAIACA","ACAIACA","Mata Atlantica","MINAS GERAIS"
2100055,"AÇAILÂNDIA","ACAILANDIA","Amazonia","MARANHAO"
2900306,"ACAJUTIBA","ACAJUTIBA","Caatinga","BAHIA"
2900306,"ACAJUTIBA","ACAJUTIBA","Mata Atlantica","BAHIA"
2300150,"ACARAPE","ACARAPE","Caatinga","CEARA"
2300200,"ACARAÚ","ACARAU","Caatinga","CEARA"
1500206,"ACARÁ","ACARA","Amazonia","PARA"
2400109,"ACARI","ACARI","Caatinga","RIO GRANDE DO NORTE"
2200053,"ACAUÃ","ACAUA","Caatinga","PIAUI"
4300034,"ACEGUÁ","ACEGUA","Pampa","RIO GRANDE DO SUL"
2300309,"ACOPIARA","ACOPIARA","Caatinga","CEARA"
5100102,"ACORIZAL","ACORIZAL","Cerrado","MATO GROSSO"
1200013,"ACRELÂNDIA","ACRELANDIA","Amazonia","ACRE"
5200134,"ACREÚNA","ACREUNA","Cerrado","GOIAS"
2400208,"AÇU","ACU","Caatinga","RIO GRANDE DO NORTE"
3100500,"AÇUCENA","ACUCENA","Mata Atlantica","MINAS GERAIS"
3500105,"ADAMANTINA","ADAMANTINA","Mata Atlantica","SAO PAULO"
5200159,"ADELÂNDIA","ADELANDIA","Cerrado","GOIAS"
3500204,"ADOLFO","ADOLFO","Mata Atlantica","SAO PAULO"
4100202,"ADRIANÓPOLIS","ADRIANOPOLIS","Mata Atlantica","PARANA"
2900355,"ADUSTINA","ADUSTINA","Caatinga","BAHIA"
2600104,"AFOGADOS DA INGAZEIRA","AFOGADOS DA INGAZEIRA","Caatinga","PERNAMBUCO"
2400307,"AFONSO BEZERRA","AFONSO BEZERRA","Caatinga","RIO GRANDE DO NORTE"
3200102,"AFONSO CLÁUDIO","AFONSO CLAUDIO","Mata Atlantica","ESPIRITO SANTO"
2100105,"AFONSO CUNHA","AFONSO CUNHA","Cerrado","MARANHAO"
2600203,"AFRÂNIO","AFRANIO","Caatinga","PERNAMBUCO"
1500305,"AFUÁ","AFUA","Amazonia","PARA"
2600302,"AGRESTINA","AGRESTINA","Caatinga","PERNAMBUCO"
2600302,"AGRESTINA","AGRESTINA","Mata Atlantica","PERNAMBUCO"
2200103,"AGRICOLÂNDIA","AGRICOLANDIA","Cerrado","PIAUI"
4200200,"AGROLÂNDIA","AGROLANDIA","Mata Atlantica","SANTA CATARINA"
4200309,"AGRONÔMICA","AGRONOMICA","Mata Atlantica","SANTA CATARINA"
1500347,"ÁGUA AZUL DO NORTE","AGUA AZUL DO NORTE","Amazonia","PARA"
5100201,"ÁGUA BOA","AGUA BOA","Amazonia","MATO GROSSO"
5100201,"ÁGUA BOA","AGUA BOA","Cerrado","MATO GROSSO"
3100609,"ÁGUA BOA","AGUA BOA","Cerrado","MINAS GERAIS"
3100609,"ÁGUA BOA","AGUA BOA","Mata Atlantica","MINAS GERAIS"
2500106,"ÁGUA BRANCA","AGUA BRANCA","Caatinga","PARAIBA"
2200202,"ÁGUA BRANCA","AGUA BRANCA","Cerrado","PIAUI"
2700102,"ÁGUA BRANCA","AGUA BRANCA","Caatinga","ALAGOAS"
5000203,"ÁGUA CLARA","AGUA CLARA","Cerrado","MATO GROSSO DO SUL"
3100708,"ÁGUA COMPRIDA","AGUA COMPRIDA","Cerrado","MINAS GERAIS"
3100708,"ÁGUA COMPRIDA","AGUA COMPRIDA","Mata Atlantica","MINAS GERAIS"
