"data","Amazonia","Caatinga","Cerrado","Mata.Atlantica","Pampa","Pantanal"
2011-01-01,4,2,15,1,0,0
2011-01-02,23,0,9,6,0,2
2011-01-03,102,9,19,2,0,7
2011-01-04,35,9,8,4,2,7
2011-01-05,40,56,22,7,0,10
2011-01-06,7,0,24,6,3,8
2011-01-07,7,24,12,10,2,30
2011-01-08,7,0,12,12,0,3
2011-01-09,12,7,1,17,1,45
2011-01-10,19,0,20,10,0,0
2011-01-11,61,6,2,7,0,6
2011-01-12,36,3,15,2,0,0
2011-01-13,47,0,2,11,0,0
2011-01-14,25,42,21,9,0,0
2011-01-15,12,5,11,19,0,0
2011-01-16,1,21,11,26,3,0
2011-01-17,2,9,10,4,0,0
2011-01-18,24,1,1,10,2,1
2011-01-19,5,6,38,10,0,0
2011-01-20,18,3,4,2,0,0
2011-01-21,31,0,13,9,0,0
2011-01-22,36,0,8,3,0,0
2011-01-23,43,1,1,5,0,1
2011-01-24,23,0,37,7,1,0
2011-01-25,44,1,7,6,8,9
2011-01-26,0,0,25,12,0,0
2011-01-27,62,1,18,5,0,10
2011-01-28,6,5,24,14,0,3
2011-01-29,7,4,9,14,0,0
2011-01-30,8,6,14,9,0,0
2011-01-31,24,0,43,14,0,3
2011-02-01,16,15,14,23,0,15
2011-02-02,2,4,12,6,1,0
2011-02-03,31,13,6,35,7,0
2011-02-04,14,12,19,12,0,0
2011-02-05,20,2,13,6,1,2
2011-02-06,9,3,17,23,0,0
2011-02-07,10,0,29,11,0,1
2011-02-08,19,10,8,12,0,0
2011-02-09,6,1,20,9,0,0
2011-02-10,14,15,2,10,0,0
2011-02-11,3,1,11,9,0,0
2011-02-12,38,1,7,5,0,0
2011-02-13,1,8,9,7,0,0
2011-02-14,0,0,3,9,0,0
2011-02-15,0,7,1,24,0,0
2011-02-16,4,0,15,14,0,0
2011-02-17,8,4,3,19,2,0
2011-02-18,1,1,20,16,1,0
2011-02-19,0,3,0,2,2,0
2011-02-20,1,3,5,7,0,0
2011-02-21,4,3,19,17,0,1
2011-02-22,2,8,30,15,0,2
2011-02-23,19,1,34,16,0,0
2011-02-24,12,10,3,19,0,1
2011-02-25,3,2,4,16,0,0
2011-02-26,21,8,15,8,2,0
2011-02-27,0,0,1,11,0,0
2011-02-28,13,0,1,1,0,0
2011-03-01,2,4,3,17,0,0
2011-03-02,28,1,0,0,1,0
2011-03-03,4,14,6,27,0,0
2011-03-04,16,2,1,1,0,0
2011-03-05,6,14,2,7,3,0
2011-03-06,3,0,6,0,0,0
2011-03-07,30,5,1,21,5,1
2011-03-08,0,7,1,9,0,0
2011-03-09,4,1,9,11,0,0
2011-03-10,0,9,5,2,1,0
2011-03-11,3,0,8,12,0,0
2011-03-12,2,7,0,13,1,1
2011-03-13,1,0,0,1,0,0
2011-03-14,12,8,0,8,5,0
2011-03-15,2,3,12,6,0,0
2011-03-16,20,4,11,33,6,0
2011-03-17,6,12,7,9,0,0
2011-03-18,74,2,23,15,0,0
2011-03-19,6,14,15,13,3,0
2011-03-20,6,0,9,1,0,0
2011-03-21,9,14,5,11,7,0
2011-03-22,6,2,19,3,0,0
2011-03-23,7,11,0,5,4,0
2011-03-24,3,6,7,7,0,0
2011-03-25,59,2,30,16,0,0
2011-03-26,6,4,15,19,0,0
2011-03-27,44,0,33,13,0,0
2011-03-28,11,3,5,6,0,0
2011-03-29,31,2,42,9,0,0
2011-03-30,15,13,6,20,0,0
2011-03-31,11,6,27,7,0,0
2011-04-01,49,6,32,25,0,1
2011-04-02,3,18,9,9,0,0
2011-04-03,5,0,3,4,5,0
2011-04-04,6,21,5,15,10,0
2011-04-05,15,4,11,1,0,0
2011-04-06,15,28,7,41,11,0
2011-04-07,4,8,18,14,2,0
2011-04-08,0,2,12,16,7,0
2011-04-09,0,1,14,1,1,0
2011-04-10,48,0,15,16,1,0
2011-04-11,0,1,10,2,7,0
2011-04-12,11,0,28,3,0,0
2011-04-13,8,2,5,2,10,0
2011-04-14,4,0,48,7,0,0
2011-04-15,56,2,9,0,0,0
2011-04-16,0,1,54,5,0,0
2011-04-17,37,0,26,8,0,0
2011-04-18,4,0,22,6,0,0
2011-04-19,22,0,64,15,0,0
2011-04-20,8,0,6,3,1,0
2011-04-21,36,0,75,3,0,0
2011-04-22,16,1,3,0,0,0
2011-04-23,9,1,43,6,0,0
2011-04-24,14,0,8,0,0,0
2011-04-25,2,7,35,11,0,0
2011-04-26,31,0,35,11,6,1
2011-04-27,6,13,22,5,3,0
2011-04-28,10,0,22,15,6,0
2011-04-29,18,0,19,7,7,0
2011-04-30,28,0,43,3,0,0
2011-05-01,20,3,16,0,0,0
2011-05-02,8,4,54,6,0,0
2011-05-03,7,0,45,39,0,0
2011-05-04,6,4,20,1,1,0
2011-05-05,12,0,32,61,11,0
2011-05-06,3,3,3,12,3,0
2011-05-07,5,4,47,22,2,0
2011-05-08,6,5,8,12,3,1
2011-05-09,6,4,95,18,0,0
2011-05-10,28,0,47,14,0,0
2011-05-11,9,4,65,16,0,0
2011-05-12,29,0,77,17,0,0
2011-05-13,2,5,20,4,1,0
2011-05-14,23,0,56,4,0,0
2011-05-15,8,2,20,0,0,1
2011-05-16,1,2,27,9,0,0
2011-05-17,10,0,16,9,3,0
2011-05-18,5,0,29,11,0,0
2011-05-19,38,0,17,24,17,2
2011-05-20,8,0,13,5,5,0
2011-05-21,60,0,41,32,14,0
2011-05-22,19,5,15,7,0,0
2011-05-23,24,0,102,34,0,0
2011-05-24,44,4,34,10,0,7
2011-05-25,13,1,76,18,0,0
2011-05-26,34,0,59,26,0,5
2011-05-27,15,13,85,13,0,1
2011-05-28,28,1,49,37,6,1
2011-05-29,20,6,54,10,1,1
2011-05-30,19,3,134,57,6,0
2011-05-31,18,3,20,24,0,1
2011-06-01,21,1,62,44,1,0
2011-06-02,48,0,32,30,7,3
2011-06-03,26,7,84,15,0,0
2011-06-04,44,0,68,46,5,7
2011-06-05,20,11,86,4,1,0
2011-06-06,33,0,105,60,17,0
2011-06-07,28,7,61,14,0,0
2011-06-08,14,3,178,18,0,0
2011-06-09,26,8,35,14,3,0
2011-06-10,16,5,141,11,0,0
2011-06-11,16,0,26,25,4,0
2011-06-12,31,3,85,2,0,0
2011-06-13,31,0,99,74,12,2
2011-06-14,29,21,103,11,6,4
2011-06-15,46,10,169,77,6,0
2011-06-16,39,10,62,45,19,2
2011-06-17,45,5,249,48,0,0
2011-06-18,44,2,68,17,0,0
2011-06-19,33,12,123,33,0,0
2011-06-20,36,0,109,53,0,6
2011-06-21,33,24,157,21,0,1
2011-06-22,59,4,170,50,0,1
2011-06-23,51,3,108,19,0,1
2011-06-24,27,0,205,27,0,5
2011-06-25,56,5,50,18,0,3
2011-06-26,23,17,178,12,0,0
2011-06-27,64,2,57,26,4,3
2011-06-28,28,16,180,28,0,1
2011-06-29,65,0,147,9,0,2
2011-06-30,51,7,181,4,1,1
2011-07-01,44,7,139,23,0,0
2011-07-02,23,12,96,3,0,0
2011-07-03,36,15,195,22,0,0
2011-07-04,30,6,38,10,7,4
2011-07-05,37,9,227,14,1,0
