"mes_ano","ACRE","ALAGOAS","AMAPA","AMAZONAS","BAHIA","CEARA","DISTRITO.FEDERAL","ESPIRITO.SANTO","GOIAS","MARANHAO","MATO.GROSSO","MATO.GROSSO.DO.SUL","MINAS.GERAIS","PARA","PARAIBA","PARANA","PERNAMBUCO","PIAUI","RIO.DE.JANEIRO","RIO.GRANDE.DO.NORTE","RIO.GRANDE.DO.SUL","RONDONIA","RORAIMA","SANTA.CATARINA","SAO.PAULO","SERGIPE","TOCANTINS"
"2011-01",2,45,0,59,135,39,0,6,40,195,206,148,112,219,12,35,67,47,9,15,26,2,307,20,75,42,25
"2011-02",0,35,3,6,177,9,2,49,56,14,147,66,131,25,2,18,25,12,46,3,20,11,140,1,76,40,13
"2011-03",0,45,0,23,158,3,0,5,26,43,301,47,82,16,11,40,50,24,4,5,53,6,158,18,46,65,36
"2011-04",4,19,0,7,204,1,1,8,111,46,467,31,97,10,3,64,26,22,4,0,88,12,156,21,76,19,120
"2011-05",8,0,2,16,225,4,5,7,161,98,640,106,201,21,0,197,3,82,15,2,83,59,9,85,217,0,379
"2011-06",26,2,1,32,376,7,18,15,333,689,1074,117,387,199,4,274,5,507,45,0,109,169,9,121,318,2,788
"2011-07",130,0,4,330,578,24,54,27,600,1159,1066,270,889,1024,6,420,3,874,122,0,188,320,10,81,581,2,1006
"2011-08",685,11,12,1543,1524,42,55,83,1549,2192,2652,567,2445,3040,12,582,29,1843,223,10,284,1358,47,350,1159,2,1582
"2011-09",1912,3,140,1524,6967,226,135,115,2250,5086,6634,1048,5930,6821,53,1156,205,4389,504,30,785,2460,66,772,1211,0,4609
"2011-10",264,24,381,844,2306,478,0,35,539,3171,2533,348,1251,4588,225,308,530,1693,109,94,109,1281,81,151,250,6,1741
"2011-11",152,26,407,502,197,2062,0,8,76,4038,1198,439,192,5760,406,192,401,1209,15,153,152,357,181,100,110,5,203
"2011-12",8,57,446,142,289,1903,0,6,25,2584,453,544,49,4840,208,102,378,461,5,152,82,45,311,52,64,48,135
"2012-01",1,43,34,8,226,308,0,0,22,461,179,187,90,534,54,46,161,100,6,66,79,6,239,25,49,40,14
"2012-02",0,52,8,8,242,44,0,27,29,84,200,127,140,78,19,77,75,38,12,16,43,9,172,34,110,36,51
"2012-03",0,58,3,5,472,13,0,38,71,54,419,192,181,16,11,88,68,74,12,12,100,20,183,111,139,87,83
"2012-04",3,18,2,8,428,2,4,76,116,114,560,105,201,24,13,63,49,120,5,4,61,21,49,57,121,40,243
"2012-05",15,23,3,15,335,23,0,25,123,370,958,154,178,98,8,160,44,352,12,17,247,35,21,160,108,16,487
"2012-06",12,5,8,58,387,33,4,21,254,987,1933,110,245,305,5,132,16,865,11,5,233,55,29,111,63,3,940
"2012-07",132,1,6,316,909,50,27,45,556,3693,2120,553,701,1041,4,203,11,1746,62,4,439,253,3,102,235,1,1655
"2012-08",1092,0,31,3616,1810,267,51,17,899,10519,6429,2782,919,9168,19,821,25,3615,76,28,665,2561,8,718,521,0,4269
"2012-09",2796,6,173,2731,6815,512,67,39,2334,7376,10620,2166,2919,8190,58,544,171,4057,173,36,198,3141,89,274,908,0,7015
"2012-10",627,31,583,1484,4529,1102,16,66,1450,5911,3475,689,4038,5946,148,227,265,2639,162,75,134,1866,201,63,259,0,3874
"2012-11",39,85,1157,749,214,1165,0,7,64,2644,488,150,258,8871,139,219,177,530,12,90,85,271,257,120,74,6,243
"2012-12",3,55,510,116,529,789,0,23,113,2086,572,213,238,2950,70,88,123,401,8,79,38,74,125,45,79,22,170
