"data","ACRE","ALAGOAS","AMAPA","AMAZONAS","BAHIA","CEARA","DISTRITO.FEDERAL","ESPIRITO.SANTO","GOIAS","MARANHAO","MATO.GROSSO","MATO.GROSSO.DO.SUL","MINAS.GERAIS","PARA","PARAIBA","PARANA","PERNAMBUCO","PIAUI","RIO.DE.JANEIRO","RIO.GRANDE.DO.NORTE","RIO.GRANDE.DO.SUL","RONDONIA","RORAIMA","SANTA.CATARINA","SAO.PAULO","SERGIPE","TOCANTINS"
2011-01-01,0,0,0,0,0,2,0,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,10,0,1
2011-01-02,0,0,0,10,0,0,0,0,0,0,1,14,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0
2011-01-03,0,0,0,5,3,0,0,0,0,58,1,6,1,57,2,0,5,0,0,0,0,0,0,0,0,0,1
2011-01-04,0,6,0,6,0,2,0,0,0,0,17,7,0,18,1,1,2,0,0,0,2,0,0,0,1,0,2
2011-01-05,0,4,0,0,16,14,0,0,0,35,10,2,1,24,2,0,6,7,0,3,0,0,0,0,0,9,2
2011-01-06,0,0,0,0,1,0,0,0,0,0,8,25,0,4,0,1,0,0,0,0,3,0,1,1,2,0,2
2011-01-07,0,4,0,0,18,3,0,0,0,3,27,9,0,0,1,0,4,3,0,0,2,0,3,0,1,7,0
2011-01-08,0,0,0,3,0,0,0,0,5,0,6,2,5,1,0,9,0,0,0,0,0,0,0,3,0,0,0
2011-01-09,0,3,0,0,5,0,0,0,1,0,28,22,0,0,0,0,16,0,0,0,1,0,7,0,0,0,0
2011-01-10,0,0,0,0,4,0,0,1,0,8,2,0,16,13,0,0,0,1,1,0,0,0,0,0,1,0,2
2011-01-11,0,5,0,10,5,2,0,0,0,0,7,5,0,26,1,0,0,0,0,0,0,0,21,0,0,0,0
2011-01-12,2,1,0,3,0,1,0,0,0,26,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0
2011-01-13,0,1,0,2,0,0,0,0,0,0,1,1,0,40,0,4,0,0,0,0,1,0,5,4,0,0,1
2011-01-14,0,5,0,2,11,12,0,0,0,29,0,0,0,6,0,0,11,8,0,4,0,0,1,0,0,8,0
2011-01-15,0,0,0,0,0,1,0,0,0,7,9,5,1,0,0,11,0,1,0,4,0,0,0,8,0,0,0
2011-01-16,0,10,0,0,5,1,0,0,0,5,0,0,0,0,4,0,10,12,0,4,3,0,1,0,0,7,0
2011-01-17,0,3,0,0,8,0,0,0,2,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,4
2011-01-18,0,3,0,1,1,1,0,0,0,0,3,2,4,0,0,1,0,0,0,0,2,0,21,0,0,0,0
2011-01-19,0,0,0,0,11,0,0,0,1,13,0,0,19,4,0,0,1,7,1,0,0,0,0,0,1,1,0
2011-01-20,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,18,0,0,3,0
2011-01-21,0,0,0,2,7,0,0,0,0,3,0,0,8,0,0,0,0,3,0,0,0,0,29,0,0,0,1
2011-01-22,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,34,0,8,0,0
2011-01-23,0,0,0,11,1,0,0,0,0,0,1,1,2,0,0,0,0,1,2,0,0,0,31,0,1,0,0
2011-01-24,0,0,0,0,3,0,0,0,8,0,5,5,11,0,0,0,0,0,0,0,1,0,19,0,14,0,2
2011-01-25,0,0,0,1,0,0,0,0,0,0,11,13,0,0,0,1,0,0,0,0,9,2,36,0,1,1,0
2011-01-26,0,0,0,0,6,0,0,0,7,0,0,0,16,0,0,1,0,0,1,0,0,0,0,0,6,0,0
2011-01-27,0,0,0,0,0,0,0,0,4,1,18,12,1,0,0,0,1,0,0,0,0,0,55,3,1,0,0
2011-01-28,0,0,0,3,18,0,0,5,0,2,0,3,7,0,1,0,0,0,4,0,0,0,3,0,6,0,0
2011-01-29,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,4,0,0,0,0,0,7,1,13,4,0
2011-01-30,0,0,0,0,10,0,0,0,1,0,11,2,5,0,0,0,2,2,0,0,0,0,2,0,0,2,0
2011-01-31,0,0,0,0,1,0,0,0,6,0,38,10,6,3,0,3,0,0,0,0,1,0,0,0,9,0,7
2011-02-01,0,5,0,1,27,0,0,0,2,0,20,10,1,0,0,0,4,1,0,0,0,4,4,0,0,4,0
2011-02-02,0,2,1,0,2,2,0,0,4,0,2,0,5,0,0,0,0,0,1,0,1,0,0,0,5,0,0
2011-02-03,0,5,0,2,25,0,0,0,2,0,7,2,4,0,0,0,1,0,0,3,10,1,25,0,0,5,0
2011-02-04,0,0,0,0,14,4,0,2,2,1,4,0,15,9,0,1,1,0,0,0,0,0,0,0,2,0,2
2011-02-05,0,0,0,0,0,0,0,0,4,0,16,2,4,0,0,0,0,0,3,0,1,0,8,1,2,3,0
2011-02-06,0,2,0,0,6,1,0,7,1,4,2,0,13,0,0,0,0,1,4,0,0,1,6,0,3,1,0
2011-02-07,0,0,0,0,2,0,0,0,7,1,14,1,3,2,0,0,0,1,1,0,0,0,7,0,11,0,1
2011-02-08,0,6,0,0,8,1,0,0,2,0,1,0,7,0,0,0,0,2,4,0,0,0,18,0,0,0,0
2011-02-09,0,0,1,0,2,0,0,0,7,1,2,0,9,0,0,0,0,0,4,0,0,0,4,0,6,0,0
2011-02-10,0,0,0,0,8,1,0,1,0,2,0,0,1,0,1,0,6,0,0,0,0,0,14,0,0,7,0
2011-02-11,0,0,0,0,5,0,2,0,2,0,3,0,7,0,0,0,0,1,1,0,0,0,0,0,1,0,2
2011-02-12,0,0,0,1,0,0,0,0,1,0,29,1,0,5,0,0,4,0,0,0,0,0,9,0,0,1,0
2011-02-13,0,2,0,0,2,0,0,3,1,0,0,0,7,1,0,0,0,2,2,0,0,0,0,0,0,4,1
2011-02-14,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0
2011-02-15,0,2,0,0,11,0,0,12,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0
2011-02-16,0,0,0,0,1,0,0,7,1,0,0,10,1,0,0,0,0,0,3,0,0,0,4,0,6,0,0
2011-02-17,0,5,0,0,5,0,0,6,0,1,4,3,0,0,0,0,3,0,0,0,2,0,5,0,2,0,0
2011-02-18,0,0,0,0,3,0,0,0,1,0,0,1,21,1,0,4,0,1,4,0,1,0,0,0,2,0,0
2011-02-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
2011-02-20,0,0,1,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-02-21,0,0,0,0,3,0,0,0,0,0,7,9,5,2,1,7,0,0,1,0,0,0,0,0,8,1,0
2011-02-22,0,0,0,0,24,0,0,6,0,3,7,2,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0
2011-02-23,0,0,0,0,2,0,0,1,16,1,22,4,3,2,0,2,1,0,3,0,0,0,2,0,7,0,4
2011-02-24,0,6,0,2,15,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,5,1,0,0,7,0
2011-02-25,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,16,0,1
2011-02-26,0,0,0,0,4,0,0,0,2,0,1,17,0,0,0,0,1,0,0,0,2,0,20,0,2,5,0
2011-02-27,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2011-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,1
2011-03-01,0,2,0,0,10,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0
2011-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,24,0,0,0,0
2011-03-03,0,1,0,2,26,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,12,2
2011-03-04,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0
2011-03-05,0,1,0,0,8,0,0,0,0,2,1,0,0,0,1,2,2,0,0,0,4,0,5,0,0,6,0
2011-03-06,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2011-03-07,0,3,0,0,3,0,0,0,0,0,5,0,0,0,1,2,1,0,0,0,13,0,27,5,0,3,0
2011-03-08,0,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-03-09,0,2,0,0,0,0,0,0,0,0,3,6,1,1,0,4,0,1,0,0,1,0,0,2,0,0,4
2011-03-10,0,0,0,0,5,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0
2011-03-11,0,2,0,0,0,0,0,0,0,0,3,9,0,0,0,1,2,0,0,0,0,0,0,0,2,2,2
2011-03-12,0,2,0,0,3,0,0,0,0,0,3,3,0,0,1,1,2,0,0,0,1,0,0,0,0,8,0
2011-03-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-03-14,0,6,0,10,0,1,0,0,0,0,2,0,0,0,1,0,5,0,0,0,5,0,0,0,0,3,0
2011-03-15,0,0,0,1,7,0,0,0,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0
2011-03-16,0,3,0,0,3,0,0,0,1,1,28,2,0,0,0,14,5,0,0,0,10,0,0,6,0,1,0
2011-03-17,0,4,0,2,6,2,0,0,0,5,1,0,0,0,0,0,4,1,1,0,0,1,3,0,0,4,0
2011-03-18,0,3,0,2,0,0,0,0,3,0,54,3,0,2,0,4,2,0,1,0,0,0,32,4,4,0,0
2011-03-19,0,2,0,0,18,0,0,0,0,4,4,2,6,0,0,0,2,5,0,0,3,0,1,0,0,3,1
2011-03-20,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2011-03-21,0,5,0,1,3,0,0,0,0,1,8,1,0,0,2,3,7,0,0,2,8,2,2,0,0,1,0
2011-03-22,0,0,0,0,7,0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,11
2011-03-23,0,2,0,5,1,0,0,0,0,0,1,0,0,0,2,0,7,0,0,2,6,0,1,0,0,0,0
2011-03-24,0,0,0,0,5,0,0,0,0,0,4,0,7,0,0,0,0,6,0,0,0,0,0,0,1,0,0
2011-03-25,0,0,0,0,1,0,0,0,1,1,54,12,0,1,0,5,3,0,0,0,0,0,19,0,8,0,2
2011-03-26,0,0,0,0,7,0,0,1,0,3,2,1,15,0,0,3,1,1,1,0,0,0,4,0,2,3,0
2011-03-27,0,0,0,0,0,0,0,0,4,0,47,2,16,0,0,0,0,0,0,0,0,0,9,0,12,0,0
2011-03-28,0,0,0,0,2,0,0,1,0,0,7,2,3,0,3,0,0,0,0,0,0,0,6,0,0,1,0
2011-03-29,0,0,0,0,6,0,0,0,6,4,32,1,12,1,0,0,0,0,0,0,0,0,4,0,11,0,7
2011-03-30,0,6,0,0,11,0,0,0,1,0,14,0,3,0,0,0,7,0,0,0,0,2,4,0,0,6,0
2011-03-31,0,0,0,0,10,0,0,0,9,1,14,0,10,0,0,0,0,3,1,0,0,0,0,0,1,0,2
2011-04-01,0,4,0,0,4,0,0,0,3,0,52,8,5,0,3,3,1,0,0,0,0,0,14,0,9,6,1
2011-04-02,0,4,0,0,20,0,0,0,0,5,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,1
2011-04-03,0,2,0,0,0,0,0,0,1,2,3,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,0
2011-04-04,0,2,0,1,24,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,13,0,5,0,0,1,2
2011-04-05,0,0,0,0,4,0,0,0,4,1,17,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2
2011-04-06,0,4,0,0,34,0,0,0,0,0,15,3,0,0,0,7,13,0,0,0,13,0,6,2,0,5,0
2011-04-07,0,0,0,0,9,0,0,0,3,0,10,1,6,0,0,0,0,1,0,0,2,0,0,6,4,0,4
2011-04-08,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,9,0,0,0,0,8,0,0,2,9,0,0
2011-04-09,0,0,0,0,8,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2011-04-10,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,10,0,0,0,0,2,0,22,2,3,0,0
2011-04-11,0,0,0,0,4,0,0,1,0,2,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0
2011-04-12,0,2,0,0,0,0,0,0,10,0,17,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,3
2011-04-13,0,0,0,0,2,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,10,2,5,0,0,0,0
2011-04-14,0,0,0,0,2,0,0,0,10,2,12,0,9,0,0,2,0,2,2,0,0,0,0,0,4,0,14
2011-04-15,0,0,0,1,0,0,0,0,1,0,9,3,0,0,0,0,1,1,0,0,0,2,49,0,0,0,0
2011-04-16,0,0,0,0,10,0,0,0,3,10,0,0,5,0,0,4,0,2,0,0,0,0,0,0,1,0,25
2011-04-17,0,1,0,0,0,0,0,0,4,2,31,1,0,1,0,2,1,0,0,0,0,0,21,0,4,0,3
2011-04-18,0,0,0,0,0,0,0,2,3,4,6,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,6
2011-04-19,0,0,0,0,2,0,0,0,7,0,48,5,7,0,0,10,0,0,0,0,0,0,4,0,10,0,8
2011-04-20,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0
2011-04-21,1,0,0,0,9,0,1,0,17,0,65,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,9
2011-04-22,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-23,0,0,0,0,22,0,0,2,7,0,12,0,9,0,0,0,0,0,0,0,0,1,0,0,5,0,1
2011-04-24,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4
2011-04-25,0,0,0,2,14,0,0,2,5,1,1,0,20,0,0,0,1,4,1,0,0,0,0,0,3,0,1
2011-04-26,0,0,0,0,2,0,0,0,16,0,27,2,0,2,0,6,0,1,0,0,6,0,14,4,2,0,2
2011-04-27,0,0,0,0,20,0,0,1,0,2,10,1,2,0,0,0,0,1,0,0,4,0,3,0,0,3,2
2011-04-28,0,0,0,0,0,0,0,0,11,1,9,1,0,4,0,4,0,0,0,0,9,0,0,3,5,0,6
2011-04-29,0,0,0,0,2,0,0,0,0,5,17,1,2,0,0,6,0,0,0,0,7,5,0,0,0,0,6
2011-04-30,3,0,0,1,8,0,0,0,4,5,23,0,2,0,0,0,0,0,1,0,0,1,0,0,6,0,20
2011-05-01,0,0,0,2,1,0,0,0,5,0,20,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0
2011-05-02,0,0,0,0,15,0,0,0,3,5,7,0,12,2,0,0,0,4,1,0,0,0,0,0,0,0,23
2011-05-03,0,0,0,0,3,0,0,0,11,0,17,5,8,0,0,22,0,0,0,0,0,0,1,6,12,0,6
2011-05-04,1,0,0,1,12,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,1,3,0,0,3,0,1
2011-05-05,0,0,0,0,1,0,0,0,14,0,18,7,1,0,0,34,0,0,0,0,11,0,0,14,15,0,1
2011-05-06,2,0,0,0,3,0,0,0,0,0,1,5,1,0,0,3,0,0,4,0,3,0,0,2,0,0,0
2011-05-07,0,0,0,0,6,0,0,0,5,2,16,0,9,0,0,5,0,2,0,0,5,0,0,5,15,0,10
2011-05-08,0,0,0,0,4,0,0,0,0,0,10,3,0,0,0,10,1,1,0,0,3,0,0,0,3,0,0
