"vec_Munic"	"vec_Month"	"vec_Area"	"vec_FS"	"vec_LUT"	"vec_Prec"	"vec_Temp"	"vec_Humid"	"vec_Speed"
"1"	4300034	1	1551.339	0	6.833	0.0575590030635987	23.87483	63.380819354959	3.91055868328335
"2"	4300059	1	291.503	0	0.023	0.110235057700513	21.43538	73.0096677069389	2.93925906581843
"3"	4300208	1	322.699	0	0.02	0.115622164203765	24.02534	62.1931143270938	3.21667737917774
"4"	4300406	1	7800.163	1	12.137	0.0285491611167516	25.61185	58.1018196001598	2.36485936146894
"5"	4300455	1	172.794	0	0.005	0.126270542232176	24.71051	60.3923337901979	2.59224291428027
"6"	4300471	1	265.327	0	0.021	0.126584681478447	22.50324	69.7951483693618	2.82544106577017
"7"	4300604	1	71.648	0	0.023	0.232022327135932	23.44524	73.9540917352837	2.29458409897207
"8"	4300638	1	505.983	0	0.973	0.130460581201497	22.31657	78.3684994562275	2.96719574620573
"9"	4300851	1	518.193	0	0.625	0.174885395058022	22.88897	79.1070345125414	2.76946072495306
"10"	4301073	1	124.693	0	0.215	0.0916586006667271	21.63432	77.5896238691649	4.40845647755484
"11"	4301107	1	425.791	0	0.888	0.154214331167906	23.66146	74.3535872946239	2.02786785583994
"12"	4301305	1	2508.545	0	3.933	0.0665771760671699	22.40409	73.3144604404103	4.13180000879352
"13"	4301503	1	348.33	0	0.041	0.0880162383880394	24.55107	61.5740202888747	3.16328500389742
"14"	4301602	1	4090.36	4	12.255	0.0635811526015314	23.79587	62.8418279513541	4.15735413303696
"15"	4301636	1	102.386	0	0.017	0.245557529104511	22.85252	78.139308197046	4.08426255722923
"16"	4301750	1	436.101	0	0.678	0.160634581557023	23.434	75.5750867977343	1.99540155704566
"17"	4301875	1	1055.937	0	1.884	0.0356617614240542	25.74925	57.4481503607658	2.77564547755573
"18"	4301909	1	729.316	0	0.954	0.183260708802833	23.52997	75.7250156475021	2.55171702561172
"19"	4302154	1	196.064	0	0.02	0.146455597145967	23.85338	64.0682818992124	2.59184388975128
"20"	4302220	1	701.315	0	0.145	0.0770011003635308	24.16165	62.4353472639161	3.65531352543696
"21"	4302238	1	504.114	0	0.429	0.0457233518989553	23.36627	65.9846792337462	3.91559631143197
"22"	4302501	1	1610.056	0	0.693	0.069550551472868	25.80386	57.7179714514928	2.56572545526422
"23"	4302709	1	752.187	0	1.767	0.128519224632403	23.67881	74.0796972419392	2.15470789267201
"24"	4302808	1	3047.113	2	2.805	0.116954103488977	22.99973	67.2783202421005	4.07796081252406
"25"	4302907	1	2373.174	0	4.236	0.0384751300412964	25.707	58.1982769541814	2.70242490821313
"26"	4303004	1	3736.158	2	7.223	0.0848809532321894	23.83563	68.6483421008048	3.30408621123186
"27"	4303103	1	43.782	0	0.005	0.235188119259389	23.33685	73.5064027123719	1.93161964330499
"28"	4303301	1	261.303	0	0.064	0.0716903886799468	25.89246	58.027046111357	2.36049340280449
