"vec_Munic"	"vec_Month"	"vec_Area"	"vec_FS"	"vec_LUT"	"vec_Prec"	"vec_Temp"	"vec_Humid"	"vec_Speed"
"1"	5001102	1	17087.021	3	3.579	0.196107483786285	27.0431	74.8202515162759	1.32588360573226
"2"	5101605	1	11427.731	1	3.03	0.304495475766386	24.91936	80.6387898700273	2.76225965187887
"3"	5002159	1	2591.933	0	0.545	0.178645823259345	26.95344	73.5228753122293	1.25190074852882
"4"	5102504	1	24593.123	25	4.144	0.230499325236167	26.28869	80.1614667185065	1.58690134799332
"5"	5003207	1	64438.363	129	11.975	0.217156011148597	27.08127	76.6514385925353	1.74075150893234
"6"	5003306	1	6392.003	2	3.01	0.345862680552471	24.96285	74.4029885866194	1.04476516239697
"7"	5103437	1	359.031	0	0.197	0.263172043010753	25.88055	83.1708882641102	1.08696013793164
"8"	5103957	1	833.612	3	0.145	0.263172043010753	25.77017	83.2252316443358	1.0591617702521
"9"	5104609	1	8659.91	0	1.852	0.409619586620858	23.79704	84.4180784755444	3.22946850773737
"10"	5105200	1	2720.481	0	0.651	0.488398201280158	23.97335	83.2226417398249	2.48580160280511
"11"	5005202	1	354.255	1	0.035	0.16507303605154	27.63306	72.4165223824801	1.72956790317534
"12"	5105234	1	1765.077	6	1.262	0.263172043010753	25.81955	83.2009179518581	1.07159899738697
"13"	5005608	1	5471.436	0	0.817	0.185915240815466	26.9209	74.8220539554382	1.24108352157946
"14"	5105622	1	1080.144	0	0.257	0.263172043010753	25.7608	83.2298438658326	1.05680247223908
"15"	5106109	1	5439.889	0	2.225	0.230499325236167	26.24679	78.5638263559149	1.80519070231662
"16"	5106505	1	17025.406	16	2.999	0.230499325236167	26.27461	79.6245274755359	1.66026461760224
"17"	5106828	1	5810.977	2	1.455	0.258409926577409	25.52221	81.7381153023877	0.51637916092271
"18"	5006903	1	17505.2	14	5.98	0.180625693661606	27.785	67.445913873008	1.81691217012679
"19"	5007406	1	8173.351	0	4.274	0.334677419354839	24.47894	76.0755566969015	0.502469620190976
"20"	5107602	1	4686.622	2	1.018	0.554376018463071	24.88133	81.6265995439648	1.86056093829293
"21"	5107800	1	9442.471	0	3.369	0.466175853841382	23.80642	83.609305199532	2.64073800804221
"22"	5007935	1	4185.528	0	1.607	0.363361768658627	24.27915	79.7308987270456	2.26460600711468
"23"	5001102	2	17087.021	2	3.579	0.164669715826038	26.95115	76.3558684464918	1.13765587984609
"24"	5101605	2	11427.731	0	3.03	0.328728405117666	25.26689	77.1969177862206	2.32489321361202
"25"	5002159	2	2591.933	3	0.545	0.132267431711461	26.87753	75.1039007694798	1.16589850527777
"26"	5102504	2	24593.123	6	4.144	0.32816091954023	26.32017	78.5486493090075	1.23659970060707
"27"	5003207	2	64438.363	72	11.975	0.149728652548169	26.99019	78.043560724121	1.44320487418387
"28"	5003306	2	6392.003	1	3.01	0.143104579581059	25.31904	72.1763746817624	1.01842250916829
"29"	5103437	2	359.031	0	0.197	0.314080459770115	25.84928	81.6456375609883	0.815192719588151
"30"	5103957	2	833.612	2	0.145	0.314080459770115	25.72504	81.8129659536497	0.804531659402244
"31"	5104609	2	8659.91	0	1.852	0.316059198577691	24.42949	78.791269341918	2.76427013767796
"32"	5105200	2	2720.481	5	0.651	0.25615094501414	24.45872	78.4372157517636	2.13218739648196
"33"	5005202	2	354.255	0	0.035	0.128345079553258	27.41365	74.8985228516607	1.69940800810043
"34"	5105234	2	1765.077	5	1.262	0.314080459770115	25.78062	81.7381018015659	0.809301508789058
"35"	5005608	2	5471.436	0	0.817	0.130614792279359	26.89856	76.186697085542	1.10707673681656
"36"	5105622	2	1080.144	0	0.257	0.314080459770115	25.7145	81.8271674186019	0.803626835838382
"37"	5106109	2	5439.889	0	2.225	0.32816091954023	26.27964	77.1841753810475	1.45265620750248
"38"	5106505	2	17025.406	1	2.999	0.32816091954023	26.30655	78.0900732645568	1.30921254888484
"39"	5106828	2	5810.977	0	1.455	0.396185915517426	25.1609	82.511290632406	0.399060417280228
"40"	5006903	2	17505.2	5	5.98	0.245527898867032	27.10897	71.7281974213943	1.75364019517246
